dataset,partition_method,logical_shard_count,query_count,target_recall,selected_fanout,minimum_feasible_fanout,selected_ef_search,selected_tuning_recall,measurement_recall,actual_fanout_mean,actual_fanout_query_population_std,actual_fanout_median,actual_fanout_p95,actual_fanout_p99,actual_normalized_fanout,oracle_fanout_mean,oracle_fanout_query_population_std,oracle_fanout_median,oracle_fanout_p95,oracle_fanout_p99,oracle_normalized_fanout,deterministic_repetition_count,between_repetition_std,partition_artifact_sha256,tuning_artifact_sha256,e3_per_search_sha256,oracle_distribution_counts,actual_distribution_counts
sift1m,random,1,9000,0.9,1,1,24,0.9098999999999999,0.9142777777777777,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,,db73cdae50455554573db49ca7e94d8525c79d12e1dfd419c23d6d65289bee42,a922cf22f0294a3c9f41dc9684b96e873675989690a45899a37dcb71cb1537d8,433f7d882818f7bae2671f5657a22f602f8cf1ee947c8a009ccfeccadf5914bf,"{""1"":9000}","{""1"":9000}"
sift1m,random,2,9000,0.9,2,2,24,0.9381,0.9463888888888888,2.0,0.0,2.0,2.0,2.0,1.0,1.9775555555555555,0.1481239054238872,2.0,2.0,2.0,0.9887777777777778,1,,31670ad7fd9bbc2e0dd64bfdff0c35a8c254e757ebfc1be068278ee633b9007e,15732797218826cd8bb32ea62773c28e785acdaa61c094227fb874621acd4f50,55868c8695348afc2ab3e2d34bf10ddd3ff24ed61b554236580ed5364be7e26e,"{""1"":202,""2"":8798}","{""2"":9000}"
sift1m,random,4,9000,0.9,4,4,16,0.9374,0.9382666666666666,4.0,0.0,4.0,4.0,4.0,1.0,3.148222222222222,0.511237230816418,3.0,4.0,4.0,0.7870555555555555,1,,ef477487ea0ae8b81e1ed65a6d90741a2808e2283e5869a236f732d5216e0ffd,8ae6720562dede84a0ca646f099d9ab5224278f6e64e4315dccfcc19dbff9045,e57d39089c1361183531e700ac0cdf11f10c8da1a41f3c2a705dbf37b39cb477,"{""2"":608,""3"":6450,""4"":1942}","{""4"":9000}"
sift1m,random,8,9000,0.9,8,8,16,0.9599,0.9619333333333333,8.0,0.0,8.0,8.0,8.0,1.0,4.902666666666667,0.8931054435694217,5.0,6.0,7.0,0.6128333333333333,1,,a4dbff780e389512828c70c95a5de8168f3a03fd7581cbc7d5f10042ecd6a3aa,a4e960c576d82487330388078367d89053f9894c4611705966f1c5737b3e485c,f10b600d97657356af704f8bc320f080f16de4a8db3395297e849512ef3d4199,"{""2"":5,""3"":427,""4"":2501,""5"":3831,""6"":1978,""7"":258}","{""8"":9000}"
sift1m,random,16,9000,0.9,16,16,16,0.9765,0.9776444444444443,16.0,0.0,16.0,16.0,16.0,1.0,6.595111111111111,1.0656549831957227,7.0,8.0,9.0,0.4121944444444444,1,,be620f8bb2f04e3acc0554ba6b7cd9b3e4530e0bc89866ddf856f00c1e1dd5a7,6a918239f319e5f3a57e7e6c0b530ae3395c327b34c81311d680e66b403cd75f,3456dca86bc56e23007acbe21f749ae60fae987fc4f5b41940c790b60690f02b,"{""3"":11,""4"":199,""5"":1112,""6"":2788,""7"":3123,""8"":1525,""9"":242}","{""16"":9000}"
sift1m,random,32,9000,0.9,32,32,16,0.9843,0.9875999999999999,32.0,0.0,32.0,32.0,32.0,1.0,7.699888888888889,0.9530302483767173,8.0,9.0,9.0,0.2406215277777778,1,,fef487e8e847d637e35d28840e8736e78095bca6d0975e2a74b068f9c17269e5,84e92b3f07d61523ad09df2a12a244835caf4057ff0d0d5f2d22cc59a4adf02f,cf6b2822e713e929929bec44f4af2b4d1e5259cf248245e68d05b07b8abe1c00,"{""4"":6,""5"":134,""6"":812,""7"":2543,""8"":3613,""9"":1892}","{""32"":9000}"
sift1m,kmeans,1,9000,0.9,1,1,24,0.9098999999999999,0.9142777777777777,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,,8330e789199ee63b8ff62f53ac1da057daedf17ed9b2905404afe17be2067d8a,7a3ce1ee55513114a43c57563884bbda7ea1848345a6019cdf2bb96ba017f886,5bf2eed85a99ac6d0ff51f3a68f081eed8bfa9a1c6bce33102502ad0dbd51bda,"{""1"":9000}","{""1"":9000}"
sift1m,kmeans,2,9000,0.9,1,1,24,0.9047999999999999,0.9135555555555556,1.0,0.0,1.0,1.0,1.0,0.5,1.001111111111111,0.033314809667922114,1.0,1.0,1.0,0.5005555555555555,1,,70a47acdc80ffa75b5fff4b5bbda0fe9ae1366ee74479185db0ef10fde188eb7,8881171d8d254591dc30559eea0ac704e1e8c0755bb9434323b4a70e6260560f,0850bae75d8558b63c3b7496f36db7cb07c3fb3e7dd43ec0ad5d5fe8b2967e73,"{""1"":8990,""2"":10}","{""1"":9000}"
sift1m,kmeans,4,9000,0.9,1,1,48,0.9048999999999999,0.9104,1.0,0.0,1.0,1.0,1.0,0.25,1.1525555555555556,0.3802836985173368,1.0,2.0,2.0,0.2881388888888889,1,,b4e5e9559708296b1509d8aa51b9826cee8356dc795c1a24e4cdd9072030a259,c856a9b7029063b0e6c8d2a5a6a2e3c14c9d3dabbc4cbaa7175af2c6a2233a68,7dd0b9bddc3c49b00ad09e37cc2a9c9e4fb7185c8890fc869f4104479352199c,"{""1"":7696,""2"":1235,""3"":69}","{""1"":9000}"
sift1m,kmeans,8,9000,0.9,2,2,32,0.9244,0.9370444444444445,2.0,0.0,2.0,2.0,2.0,0.25,1.3785555555555555,0.5480532437863053,1.0,2.0,3.0,0.17231944444444444,1,,f9f0fdf7bad7ad33a17b1495af6dc449f53a7885512e11ed9dc20a854807df7c,8a512629baed8302ac78178185b589d13f8a8237db420acd64730c6897830140,7d2e83761c0f7ed23a1b55a99b98e32e8c381e525837a0bc0828f2c9f91ee983,"{""1"":5882,""2"":2833,""3"":281,""4"":4}","{""2"":9000}"
