dataset,partition_method,logical_shard_count,query_count,target_recall,selected_fanout,minimum_feasible_fanout,selected_ef_search,selected_tuning_recall,measurement_recall,actual_fanout_mean,actual_fanout_query_population_std,actual_fanout_median,actual_fanout_p95,actual_fanout_p99,actual_normalized_fanout,oracle_fanout_mean,oracle_fanout_query_population_std,oracle_fanout_median,oracle_fanout_p95,oracle_fanout_p99,oracle_normalized_fanout,deterministic_repetition_count,between_repetition_std,partition_artifact_sha256,tuning_artifact_sha256,e3_per_search_sha256,oracle_distribution_counts,actual_distribution_counts
glove-200-angular,random,1,9000,0.9,1,1,384,0.9148,0.9120555555555555,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,,97313d67339f0ea621aa42ed5562c3701d783589b96364be1ee981a03901f13b,81b0ead9b97cd4c57f4ca4db3ce661b6845ad8e14d9a86fd7bd39fce77163590,3ef9f05e855f1ab7f98ccfe7fefb3fd7214a1394d1c5146bbb4847e030ec51f5,"{""1"":9000}","{""1"":9000}"
glove-200-angular,random,2,9000,0.9,2,2,256,0.9179,0.9154666666666668,2.0,0.0,2.0,2.0,2.0,1.0,1.9774444444444443,0.14848165701235894,2.0,2.0,2.0,0.9887222222222222,1,,5c154087494614be1871db5638e1eec106487dff4c6d96a0c35ec6de855ff77b,7fa408d647ef1a2e2a1e93d18bf75b19049c76de7affa9701e239ae8745f2a77,fc891488d07bbae7ed966ecfa4cf29b32726828dd6cbc22766e719a867bf868d,"{""1"":203,""2"":8797}","{""2"":9000}"
glove-200-angular,random,4,9000,0.9,4,4,128,0.9013,0.9014222222222222,4.0,0.0,4.0,4.0,4.0,1.0,3.1453333333333333,0.5079265038697365,3.0,4.0,4.0,0.7863333333333333,1,,57931d3f726ec2e3bd5960c47145792b036502044929061e2bbc2135e0e0c56f,55a09b29f2ca737a415a459759f289956f9e87bce2b385e01f612a39cce64441,1e756794b838e6e5156dbc2c9cc8041e4aaee98fdc67ee5953e3b1083557801f,"{""1"":2,""2"":596,""3"":6494,""4"":1908}","{""4"":9000}"
glove-200-angular,random,8,9000,0.9,8,8,96,0.91,0.9120555555555555,8.0,0.0,8.0,8.0,8.0,1.0,4.929111111111111,0.8779251353104525,5.0,6.0,7.0,0.6161388888888889,1,,576c1b3df2c3e34d92bca9ab819474e609d01d3f64d1643863dee80320eb4aa8,8121e306057a4ef12ef972ff40a3eda3a14887856edc48b208f50534d10f756b,7fe1b81da57f51c7ad657ce37640388a2d61900ad9376596235096e9b632cfc8,"{""2"":15,""3"":342,""4"":2445,""5"":3911,""6"":2038,""7"":249}","{""8"":9000}"
glove-200-angular,random,16,9000,0.9,16,16,64,0.9099,0.9160888888888888,16.0,0.0,16.0,16.0,16.0,1.0,6.610888888888889,1.0538465463291495,7.0,8.0,9.0,0.41318055555555555,1,,1f6140d37db3bf86495860d8494e36985aa8ba523e2095e8527b72fe655c0a4b,051eb2eca9f0611c4180cc068bfebbefff1451a3e0fd536022e933a83b38d435,d8db958d9ee5a0d90841f8dab6c018a07033bb953f01ce7495e82f7ad6733d9b,"{""3"":10,""4"":176,""5"":1093,""6"":2759,""7"":3187,""8"":1539,""9"":236}","{""16"":9000}"
glove-200-angular,random,32,9000,0.9,32,32,48,0.9244,0.9230888888888888,32.0,0.0,32.0,32.0,32.0,1.0,7.6995555555555555,0.9477223117806786,8.0,9.0,9.0,0.2406111111111111,1,,27eb4d507a626277b2755c430d33cc816a37e269a19518045a34e70cdce81569,fba185ec4f78c58da6d5140acab86acef11ff0d62174062ddd474022c7fccec5,9844f55af36819d85dd58d5f876e0f35e243ef00b36251af8dbffad9bfc99500,"{""4"":9,""5"":126,""6"":816,""7"":2506,""8"":3695,""9"":1848}","{""32"":9000}"
glove-200-angular,kmeans,1,9000,0.9,1,1,384,0.9148,0.9120555555555555,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,,c459b380050e2765667289ba2a55884ce3b4421a00ec49d0c9123bd2dc297c56,4c55bfffb291c71cfd2696f494c9940ea8056fc30b5f74f5669d985e32991009,26877f56539d68cfaa46f37d75315c5d7fcc2b449732dad1c20fa75fa0eac010,"{""1"":9000}","{""1"":9000}"
glove-200-angular,kmeans,2,9000,0.9,2,2,256,0.9042,0.9044000000000001,2.0,0.0,2.0,2.0,2.0,1.0,1.3296666666666668,0.47009207136002146,1.0,2.0,2.0,0.6648333333333334,1,,675f7d857b1abbb94b4ffc08da17df710b9c639aaf9cfe73c2581b21f4dcd46b,feb1470f87aad30d1843578df776f537188afa9fdb7ccdc12ac6cd88fec5b14e,fdb4bd9652589a327297de01814aa501fd4fdb484b331a2af4895ee8786ca291,"{""1"":6033,""2"":2967}","{""2"":9000}"
glove-200-angular,kmeans,4,9000,0.9,3,3,256,0.9042,0.9033222222222221,3.0,0.0,3.0,3.0,3.0,0.75,1.5385555555555555,0.6415797536136201,1.0,3.0,3.0,0.38463888888888886,1,,9bca00c43e83ffc07b944055c92bc6054e469e51e5db970e01996fa9db2cda7b,d61af0919f7e51935089b1eda9fd2a226c13f4c2c4c3f78a7db7347b9aad58bd,19e3b7084214e436902a6ab2db356b9d4705196f3312625bd303a505799949b4,"{""1"":4869,""2"":3433,""3"":680,""4"":18}","{""3"":9000}"
glove-200-angular,kmeans,8,9000,0.9,4,4,256,0.9004,0.9030222222222222,4.0,0.0,4.0,4.0,4.0,0.5,1.8713333333333333,0.9636161061335577,2.0,4.0,5.0,0.23391666666666666,1,,026c59a43604885c1cd5c0f87ed907c5f10627a3587cf5b605c17fd98b41d4de,8befff73916622bff77dfca7f9e513398f9ce1a1d22108fb22fe7199dc0f0d25,43bad345678e576c545031137ed6b8881fff0b476de312f31c26b73cad5e5e13,"{""1"":4009,""2"":2855,""3"":1521,""4"":523,""5"":84,""6"":8}","{""4"":9000}"
glove-200-angular,kmeans,16,9000,0.9,9,5,128,0.9001,0.9015666666666667,9.0,0.0,9.0,9.0,9.0,0.5625,2.1136666666666666,1.277006873730739,2.0,5.0,6.0,0.13210416666666666,1,,e0a2d50f079def7c556e3b6973da4c1e59445ffe40f9c00ef5d9ebe96baa5f93,5bd1c765a71fed57499d135fa62042a5575729f68fd4c2344c3793723986ddc6,1b250b8fccd8f657458acb87c43e03e30707d454325b2453cd17c8e6caa4cf89,"{""1"":3855,""2"":2354,""3"":1440,""4"":795,""5"":400,""6"":135,""7"":18,""8"":3}","{""9"":9000}"
glove-200-angular,kmeans,32,9000,0.9,10,6,128,0.9005,0.902411111111111,10.0,0.0,10.0,10.0,10.0,0.3125,2.418111111111111,1.520659501988415,2.0,5.0,7.0,0.07556597222222222,1,,79786a469498c64fe6eabe821ec716bf7ac72da621f37afd66d5141783991bd4,f13aedfddadb650c9834a440a74c7d668f96ecbb5028acf52173a9fb2e01df41,4d08227e1851c84edc9724a70ef6045d36e459dc03e74bb5677dc7ecc8eb0505,"{""1"":3154,""2"":2525,""3"":1380,""4"":940,""5"":554,""6"":279,""7"":135,""8"":27,""9"":6}","{""10"":9000}"
